Row,Activity,Sex,Age,Type,Species,Fatal
1355,Other,M,29,Unprovoked,white shark,N
327,Surfing,M,42,Unprovoked,unknown,N
556,Surfing,M,27,Unprovoked,unknown,N
228,Other,M,10,Provoked,Other,N
532,Surfing,M,26,Unprovoked,Other,N
18,Swimming,M,69,Unprovoked,unknown,N
1377,Scuba diving,M,37,Unprovoked,white shark,Y
1606,Other,M,40,Unprovoked,Other,N
710,Surfing,M,44,Unprovoked,unknown,N
934,Surfing,M,35,Unprovoked,bronze whaler,N
1053,Other,F,44,Unprovoked,unknown,Y
1695,Fishing,M,34,Unprovoked,unknown,Y
749,Surfing,M,33,Unprovoked,Other,N
1098,Fishing,M,69,Provoked,bronze whaler,N
1788,Fishing,M,53,Provoked,Other,N
931,Swimming,M,52,Unprovoked,bull shark,Y
1003,boarding,M,19,Unprovoked,tiger shark,N
888,Wading,F,13,Unprovoked,unknown,N
979,Surfing,M,17,Unprovoked,Other,N
1745,Fishing,M,25,Unprovoked,unknown,N
1199,Surfing,M,21,Unprovoked,unknown,N
997,Surfing,M,22,Unprovoked,white shark,N
1679,Spearfishing,M,18,Provoked,nurse shark,N
50,Other,M,50,Unprovoked,white shark,N
946,Spearfishing,M,25,Provoked,unknown,N
1466,Other,M,22,Provoked,grey nurse,N
351,Spearfishing,M,34,Unprovoked,Other,N
1523,Spearfishing,M,35,Unprovoked,tiger shark,Y
276,boarding,M,36,Unprovoked,bull shark,Y
1250,Other,F,33,Unprovoked,white shark,Y
390,Spearfishing,M,21,Unprovoked,unknown,N
464,Spearfishing,M,27,Provoked,blacktip shark,N
996,Surfing,M,45,Unprovoked,white shark,N
467,Other,M,40,Unprovoked,unknown,N
13,Fishing,M,56,Invalid,unknown,N
416,Swimming,M,9,Provoked,Other,N
1838,Surfing,F,17,Unprovoked,unknown,N
1847,Swimming,M,17,Unprovoked,white shark,Y
666,Other,F,38,Unprovoked,white shark,N
1750,Surfing,M,14,Unprovoked,white shark,Y
306,boarding,M,55,Unprovoked,unknown,N
1496,Other,M,43,Unprovoked,Other,N
1828,Swimming,M,24,Unprovoked,unknown,N
1797,Other,M,38,Provoked,nurse shark,N
619,boarding,M,15,Unprovoked,raggedoth shark,N
736,Standing,M,15,Unprovoked,unknown,N
583,Surfing,F,42,Unprovoked,unknown,N
1573,Scuba diving,M,55,Provoked,Other,N
142,Other,F,10,Unprovoked,unknown,N
1539,Standing,F,18,Provoked,tiger shark,N
1364,Other,M,17,Unprovoked,unknown,N
1676,Other,M,29,Unprovoked,Other,N
1884,Swimming,M,6,Unprovoked,bull shark,N
1404,Other,M,26,Unprovoked,white shark,Y
1257,Surfing,M,13,Unprovoked,unknown,N
1636,Spearfishing,M,44,Unprovoked,unknown,N
1524,Other,M,13,Unprovoked,unknown,Y
236,Surfing,M,21,Unprovoked,Other,N
349,Surfing,M,53,Unprovoked,white shark,N
487,Scuba diving,M,34,Provoked,grey nurse,N
1435,Scuba diving,M,25,Provoked,raggedoth shark,N
398,Snorkeling,F,70,Unprovoked,Other,N
923,Wading,F,30,Unprovoked,blacktip shark,N
961,Swimming,F,14,Unprovoked,blacktip shark,N
1015,Swimming,F,47,Unprovoked,tiger shark,N
263,Fishing,M,50,Provoked,Other,N
524,Surfing,M,13,Unprovoked,unknown,N
461,Surfing,M,31,Unprovoked,blacktip shark,N
243,Surfing,M,26,Unprovoked,wobbegong shark,N
1215,Surfing,M,20,Unprovoked,unknown,N
1508,Other,M,25,Unprovoked,Other,N
445,Surfing,M,18,Unprovoked,unknown,N
1500,Fishing,M,43,Provoked,unknown,Y
1766,Other,M,21,Unprovoked,Other,N
1431,Surfing,M,15,Unprovoked,white shark,N
198,Snorkeling,M,53,Unprovoked,unknown,N
1820,Other,F,13,Unprovoked,tiger shark,N
1657,Other,M,14,Unprovoked,unknown,N
578,boarding,M,12,Unprovoked,blacktip shark,N
417,Fishing,M,20,Provoked,Other,N
394,boarding,M,16,Unprovoked,unknown,N
1231,Other,M,32,Unprovoked,unknown,N
526,Surfing,M,27,Unprovoked,white shark,N
507,Other,M,46,Unprovoked,white shark,N
588,Surfing,M,24,Unprovoked,tiger shark,Y
991,Surfing,M,22,Unprovoked,white shark,N
936,Spearfishing,M,47,Unprovoked,bull shark,N
1458,Other,M,15,Provoked,grey nurse,N
1356,Other,M,19,Unprovoked,white shark,N
714,Surfing,M,16,Unprovoked,white shark,N
587,Other,M,41,Unprovoked,white shark,N
884,Scuba diving,M,69,Unprovoked,Other,N
1036,Swimming,M,16,Unprovoked,unknown,N
988,Surfing,M,34,Unprovoked,Other,N
903,Spearfishing,M,39,Invalid,unknown,N
1179,Surfing,M,21,Unprovoked,white shark,N
1410,Spearfishing,M,26,Unprovoked,Other,N
1396,Other,M,36,Unprovoked,white shark,N
621,Surfing,F,28,Unprovoked,tiger shark,N
484,Other,M,29,Boating,white shark,N
917,Surfing,M,62,Unprovoked,unknown,N
211,Surfing,M,17,Unprovoked,Other,N
1702,Swimming,F,15,Unprovoked,white shark,Y
863,Swimming,M,49,Unprovoked,white shark,Y
231,Swimming,F,40,Unprovoked,unknown,N
1195,Surfing,M,15,Unprovoked,unknown,N
1686,Swimming,M,25,Unprovoked,white shark,Y
