Row,Activity,Sex,Age,Type,Species,Fatal
425,Swimming,F,60,Unprovoked,Other,N
426,Wading,F,10,Unprovoked,unknown,N
427,Other,M,29,Provoked,Other,N
428,Surfing,M,68,Unprovoked,unknown,N
429,Surfing,M,35,Unprovoked,unknown,N
430,Swimming,M,24,Unprovoked,Other,N
431,Surfing,M,34,Unprovoked,unknown,N
432,Snorkeling,F,60,Unprovoked,unknown,N
433,Surfing,M,46,Unprovoked,wobbegong shark,N
434,boarding,M,18,Unprovoked,white shark,N
435,boarding,F,14,Provoked,unknown,N
436,Surfing,M,29,Unprovoked,unknown,N
437,Standing,M,37,Unprovoked,white shark,Y
438,Snorkeling,F,9,Unprovoked,Other,N
439,Swimming,M,27,Unprovoked,Other,N
440,Spearfishing,M,18,Unprovoked,bull shark,N
441,Swimming,M,24,Unprovoked,white shark,Y
442,Other,M,58,Provoked,tiger shark,N
443,Wading,M,10,Unprovoked,unknown,N
444,Fishing,M,31,Unprovoked,Other,N
445,Surfing,M,18,Unprovoked,unknown,N
446,Other,M,25,Unprovoked,unknown,N
447,Other,M,27,Boating,white shark,N
448,Surfing,M,54,Unprovoked,unknown,N
449,Other,M,23,Provoked,Other,N
450,Other,M,23,Unprovoked,bull shark,N
451,Fishing,M,39,Provoked,Other,N
452,Swimming,M,60,Invalid,unknown,Y
453,Surfing,M,25,Unprovoked,white shark,Y
454,Swimming,F,22,Unprovoked,white shark,N
455,Fishing,M,56,Unprovoked,bull shark,N
456,Spearfishing,M,14,Unprovoked,bull shark,N
457,Swimming,F,43,Provoked,nurse shark,N
458,Surfing,M,52,Unprovoked,unknown,N
459,Snorkeling,F,50,Unprovoked,Other,Y
460,Fishing,M,46,Provoked,Other,N
461,Surfing,M,31,Unprovoked,blacktip shark,N
462,Surfing,M,49,Unprovoked,blacktip shark,N
463,Surfing,M,55,Unprovoked,blacktip shark,N
464,Spearfishing,M,27,Provoked,blacktip shark,N
465,Spearfishing,M,48,Provoked,unknown,N
466,Surfing,M,31,Unprovoked,unknown,N
467,Other,M,40,Unprovoked,unknown,N
468,Fishing,M,59,Provoked,raggedoth shark,N
469,Surfing,M,17,Unprovoked,bronze whaler,N
470,Surfing,F,17,Unprovoked,unknown,N
471,Swimming,M,61,Unprovoked,unknown,N
472,Wading,M,21,Provoked,wobbegong shark,N
473,Fishing,M,40,Provoked,Other,N
474,Surfing,M,15,Unprovoked,unknown,N
475,Surfing,M,33,Unprovoked,white shark,N
476,Other,M,31,Unprovoked,bull shark,N
477,Surfing,M,41,Unprovoked,white shark,N
478,Spearfishing,M,15,Unprovoked,bull shark,N
479,Swimming,M,25,Unprovoked,tiger shark,Y
480,Snorkeling,M,24,Unprovoked,Other,N
481,Surfing,F,13,Unprovoked,white shark,N
482,Surfing,M,31,Unprovoked,white shark,N
483,Swimming,M,49,Unprovoked,Other,N
484,Other,M,29,Boating,white shark,N
485,Snorkeling,M,51,Unprovoked,white shark,Y
486,Fishing,M,15,Provoked,raggedoth shark,N
487,Scuba diving,M,34,Provoked,grey nurse,N
488,Spearfishing,M,24,Unprovoked,Other,N
489,Fishing,M,50,Provoked,Other,N
490,Spearfishing,M,43,Unprovoked,white shark,N
491,Surfing,M,40,Unprovoked,unknown,N
492,Swimming,M,43,Provoked,bronze whaler,N
493,Swimming,M,32,Unprovoked,Other,N
494,Surfing,M,40,Unprovoked,tiger shark,N
495,Surfing,M,51,Unprovoked,unknown,N
496,Surfing,M,52,Unprovoked,unknown,N
497,Fishing,M,52,Provoked,Other,N
498,Surfing,M,26,Unprovoked,unknown,N
499,Other,F,38,Unprovoked,bull shark,N
500,Surfing,M,31,Unprovoked,white shark,N
501,Swimming,M,33,Unprovoked,unknown,N
502,Wading,M,9,Unprovoked,unknown,N
503,Wading,F,8,Unprovoked,unknown,N
504,Wading,M,16,Unprovoked,unknown,N
505,Other,M,16,Boating,Other,N
506,Spearfishing,M,42,Unprovoked,bull shark,N
507,Other,M,46,Unprovoked,white shark,N
508,Swimming,M,37,Unprovoked,unknown,N
509,Other,F,40,Boating,white shark,N
510,Surfing,F,15,Unprovoked,unknown,N
511,Swimming,M,14,Unprovoked,bull shark,N
512,Surfing,M,49,Unprovoked,unknown,N
513,Surfing,M,21,Unprovoked,unknown,Y
514,Swimming,M,37,Unprovoked,white shark,N
515,Fishing,M,40,Unprovoked,bull shark,N
516,Surfing,M,24,Unprovoked,tiger shark,Y
517,Surfing,M,18,Unprovoked,unknown,N
518,Swimming,M,32,Unprovoked,bull shark,N
519,Swimming,M,66,Unprovoked,white shark,Y
520,Surfing,M,30,Unprovoked,unknown,N
521,Wading,M,15,Unprovoked,unknown,N
522,boarding,M,16,Unprovoked,bull shark,Y
523,Surfing,M,52,Unprovoked,unknown,N
524,Surfing,M,13,Unprovoked,unknown,N
525,Other,M,8,Unprovoked,unknown,N
526,Surfing,M,27,Unprovoked,white shark,N
527,Other,M,49,Unprovoked,bull shark,Y
528,Surfing,F,14,Unprovoked,unknown,N
529,Other,M,42,Unprovoked,blacktip shark,N
530,Other,M,20,Provoked,Other,N
531,Surfing,M,20,Unprovoked,unknown,N
532,Surfing,M,26,Unprovoked,Other,N
533,Surfing,M,24,Unprovoked,unknown,N
534,Surfing,M,31,Unprovoked,unknown,N
535,Surfing,M,52,Unprovoked,tiger shark,N
536,Other,M,28,Unprovoked,unknown,N
537,Fishing,M,32,Provoked,Other,N
538,Surfing,M,14,Unprovoked,unknown,N
539,Surfing,M,21,Unprovoked,unknown,N
540,Surfing,M,42,Unprovoked,unknown,N
541,Surfing,M,37,Unprovoked,white shark,N
542,Other,M,32,Unprovoked,tiger shark,N
543,Other,F,52,Unprovoked,white shark,N
544,Spearfishing,M,31,Unprovoked,bronze whaler,N
545,Surfing,M,22,Unprovoked,unknown,N
546,Surfing,M,16,Unprovoked,blacktip shark,N
547,Swimming,F,23,Unprovoked,tiger shark,Y
548,Spearfishing,F,48,Unprovoked,Other,N
549,Surfing,M,23,Unprovoked,unknown,N
550,Snorkeling,M,14,Unprovoked,nurse shark,N
551,Other,F,12,Unprovoked,unknown,N
552,Swimming,M,58,Unprovoked,Other,N
553,boarding,M,15,Unprovoked,tiger shark,N
554,Surfing,M,24,Unprovoked,white shark,N
555,Surfing,M,54,Unprovoked,unknown,N
556,Surfing,M,27,Unprovoked,unknown,N
557,Surfing,M,16,Unprovoked,unknown,N
558,Other,M,20,Unprovoked,bull shark,N
559,Swimming,F,15,Unprovoked,unknown,N
560,Other,F,19,Unprovoked,bull shark,N
561,Snorkeling,M,36,Unprovoked,unknown,N
562,Wading,M,15,Unprovoked,bronze whaler,N
563,Swimming,M,14,Unprovoked,unknown,N
564,Scuba diving,M,48,Provoked,Other,N
565,Wading,F,30,Unprovoked,unknown,N
566,Spearfishing,F,48,Unprovoked,bull shark,N
567,boarding,M,17,Unprovoked,unknown,N
568,Surfing,M,20,Unprovoked,unknown,N
569,Other,F,40,Provoked,unknown,N
570,Fishing,M,38,Provoked,Other,N
571,Wading,F,38,Unprovoked,unknown,N
572,Surfing,M,19,Unprovoked,unknown,N
573,Surfing,F,21,Unprovoked,unknown,N
