Activity,Sex,Age,Type,Species,Fatal
Surfing,F,15,Unprovoked,unknown,N
Swimming,M,14,Unprovoked,bull shark,N
Surfing,M,49,Unprovoked,unknown,N
Surfing,M,21,Unprovoked,unknown,Y
Swimming,M,37,Unprovoked,white shark,N
Fishing,M,40,Unprovoked,bull shark,N
Surfing,M,24,Unprovoked,tiger shark,Y
Surfing,M,18,Unprovoked,unknown,N
Swimming,M,32,Unprovoked,bull shark,N
Swimming,M,66,Unprovoked,white shark,Y
Surfing,M,30,Unprovoked,unknown,N
Wading,M,15,Unprovoked,unknown,N
boarding,M,16,Unprovoked,bull shark,Y
Surfing,M,52,Unprovoked,unknown,N
Surfing,M,13,Unprovoked,unknown,N
Other,M,8,Unprovoked,unknown,N
Surfing,M,27,Unprovoked,white shark,N
Other,M,49,Unprovoked,bull shark,Y
Surfing,F,14,Unprovoked,unknown,N
Other,M,42,Unprovoked,blacktip shark,N
Other,M,20,Provoked,Other,N
Surfing,M,20,Unprovoked,unknown,N
Surfing,M,26,Unprovoked,Other,N
Surfing,M,24,Unprovoked,unknown,N
Surfing,M,31,Unprovoked,unknown,N
Surfing,M,52,Unprovoked,tiger shark,N
Other,M,28,Unprovoked,unknown,N
Fishing,M,32,Provoked,Other,N
Surfing,M,14,Unprovoked,unknown,N
Surfing,M,21,Unprovoked,unknown,N
Surfing,M,42,Unprovoked,unknown,N
Surfing,M,37,Unprovoked,white shark,N
Other,M,32,Unprovoked,tiger shark,N
Other,F,52,Unprovoked,white shark,N
Spearfishing,M,31,Unprovoked,bronze whaler,N
Surfing,M,22,Unprovoked,unknown,N
Surfing,M,16,Unprovoked,blacktip shark,N
Swimming,F,23,Unprovoked,tiger shark,Y
Spearfishing,F,48,Unprovoked,Other,N
Surfing,M,23,Unprovoked,unknown,N
Snorkeling,M,14,Unprovoked,nurse shark,N
Other,F,12,Unprovoked,unknown,N
Swimming,M,58,Unprovoked,Other,N
boarding,M,15,Unprovoked,tiger shark,N
Surfing,M,24,Unprovoked,white shark,N
Surfing,M,54,Unprovoked,unknown,N
Surfing,M,27,Unprovoked,unknown,N
Surfing,M,16,Unprovoked,unknown,N
Other,M,20,Unprovoked,bull shark,N
Swimming,F,15,Unprovoked,unknown,N
Other,F,19,Unprovoked,bull shark,N
Snorkeling,M,36,Unprovoked,unknown,N
Wading,M,15,Unprovoked,bronze whaler,N
Swimming,M,14,Unprovoked,unknown,N
Scuba diving,M,48,Provoked,Other,N
Wading,F,30,Unprovoked,unknown,N
Spearfishing,F,48,Unprovoked,bull shark,N
boarding,M,17,Unprovoked,unknown,N
Surfing,M,20,Unprovoked,unknown,N
Other,F,40,Provoked,unknown,N
Fishing,M,38,Provoked,Other,N
Wading,F,38,Unprovoked,unknown,N
Surfing,M,19,Unprovoked,unknown,N
Surfing,F,21,Unprovoked,unknown,N
Snorkeling,F,63,Unprovoked,tiger shark,N
Swimming,M,68,Unprovoked,unknown,N
Other,F,20,Provoked,Other,N
Swimming,F,13,Unprovoked,unknown,N
boarding,M,12,Unprovoked,blacktip shark,N
Surfing,M,24,Unprovoked,unknown,N
Surfing,M,26,Unprovoked,tiger shark,N
Surfing,M,27,Unprovoked,unknown,N
Surfing,M,11,Unprovoked,unknown,N
Surfing,F,42,Unprovoked,unknown,N
Swimming,F,59,Unprovoked,unknown,N
Spearfishing,M,16,Provoked,tiger shark,N
Spearfishing,M,30,Unprovoked,tiger shark,N
Other,M,41,Unprovoked,white shark,N
Surfing,M,24,Unprovoked,tiger shark,Y
Surfing,M,24,Unprovoked,tiger shark,N
Surfing,M,25,Unprovoked,unknown,N
Surfing,M,10,Unprovoked,unknown,N
Surfing,M,43,Unprovoked,white shark,N
Fishing,M,25,Provoked,raggedoth shark,N
boarding,M,15,Unprovoked,white shark,N
